date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price
2026-09-18,4dd8020192a544385db42374e5555303,2026-09-20T20:25:00Z,Arizona Cardinals,Seattle Seahawks,4.0,-112,-4.0,-105,4.0,-117,-4.0,-103,4.0,-113,-4.0,-108,4.0,-115,-4.0,-105,4.0,-115,-4.0,-105,3.5,100,-3.5,-120,4.5,-120,-4.5,-102,4.0,-113,-4.0,102
2026-09-18,85ef85098ddd22fe4ecf45e7e3c0a9c0,2026-09-20T20:25:00Z,Dallas Cowboys,Washington Commanders,-4.0,-110,4.0,-108,-4.0,-110,4.0,-110,-4.5,-107,4.5,-114,-4.0,-110,4.0,-110,-4.0,-110,4.0,-110,-4.5,-105,4.5,-115,-4.5,-102,4.5,-120,-4.0,-105,4.0,-105
2026-09-18,68bc55903f50af4af4766adcc89fcc61,2026-09-20T20:25:00Z,San Francisco 49ers,Miami Dolphins,-13.5,-110,13.5,-108,-13.0,-115,13.0,-105,-13.5,-112,13.5,-109,-13.0,-115,13.0,-105,-13.0,-110,13.0,-110,-13.5,-105,13.5,-115,-13.5,-105,13.5,-115,-13.0,-105,13.0,-105
2026-09-18,50bc247030707d823b9c3581d7eb5760,2026-09-21T00:20:00Z,Kansas City Chiefs,Indianapolis Colts,,,,,-6.5,-110,6.5,-110,-6.5,-117,6.5,-105,-6.5,-110,6.5,-110,-6.5,-110,6.5,-110,-6.5,-115,6.5,-105,-6.5,-112,6.5,-108,-6.5,-105,6.5,-105
2026-09-18,32367f882fac1a0c20a6335619922025,2026-09-22T00:15:00Z,Los Angeles Rams,New York Giants,-7.0,-112,7.0,-105,-7.0,-115,7.0,-105,-7.0,-112,7.0,-109,-7.0,-115,7.0,-105,-7.0,-115,7.0,-105,-7.0,-118,7.0,-102,-7.5,-104,7.5,-118,-7.0,-109,7.0,-101
2026-09-18,e5fbd3b3953b896b1bf897ddadb3cc4b,2026-09-25T00:15:00Z,Green Bay Packers,Atlanta Falcons,,,,,,,,,-6.5,-109,6.5,-112,,,,,,,,,-6.5,-115,6.5,-105,-5.5,-120,5.5,-102,,,,
2026-09-18,613b8cd3a5fab58f7be4e3fd6f76223e,2026-09-27T17:00:00Z,Cleveland Browns,Carolina Panthers,,,,,3.0,-115,-3.0,-105,3.0,-117,-3.0,-105,3.0,-110,-3.0,-110,,,,,2.5,-105,-2.5,-115,3.0,-112,-3.0,-108,3.0,-110,-3.0,100
2026-09-18,71123be049587b6facce3a20c53e5d09,2026-09-27T17:00:00Z,Pittsburgh Steelers,Cincinnati Bengals,,,,,2.5,-110,-2.5,-110,2.5,-108,-2.5,-113,2.5,-110,-2.5,-110,,,,,2.5,-110,-2.5,-110,2.5,-114,-2.5,-106,2.5,-105,-2.5,-105
2026-09-18,17a730b7d399feeab6a78c30767c29d2,2026-09-27T17:00:00Z,Indianapolis Colts,Houston Texans,,,,,2.5,-105,-2.5,-115,2.5,-108,-2.5,-113,2.5,-105,-2.5,-115,,,,,2.5,-110,-2.5,-110,2.5,-105,-2.5,-115,2.5,100,-2.5,-110
2026-09-18,1f3cfd315a24d1a7dd5859a8e6b88e18,2026-09-27T17:00:00Z,Jacksonville Jaguars,New England Patriots,,,,,-2.5,-110,2.5,-110,-2.5,-109,2.5,-112,-2.5,-110,2.5,-110,,,,,-2.5,-110,2.5,-110,-1.5,-115,1.5,-105,-2.5,-105,2.5,-105
2026-09-18,0339a0e41bcee12820eb3e64bb5fadb4,2026-09-27T17:00:00Z,Miami Dolphins,Kansas City Chiefs,,,,,8.5,-110,-8.5,-110,8.5,-112,-8.5,-109,8.5,-110,-8.5,-110,,,,,8.5,-110,-8.5,-110,8.5,-105,-8.5,-115,8.5,-105,-8.5,-105
2026-09-18,555afd4a27aaa392662881cffa8f2eef,2026-09-27T17:00:00Z,New York Giants,Tennessee Titans,,,,,-5.5,-115,5.5,-105,-6.0,-110,6.0,-110,-5.5,-115,5.5,-105,,,,,-5.5,-110,5.5,-110,-5.5,-120,5.5,-102,-5.5,-110,5.5,100
2026-09-18,2a529c108305ffa049d8b6cfdbaa4d36,2026-09-27T17:00:00Z,Washington Commanders,Seattle Seahawks,,,,,2.5,-105,-2.5,-115,2.5,-109,-2.5,-112,2.0,-110,-2.0,-110,,,,,2.5,-110,-2.5,-110,1.5,-110,-1.5,-110,2.5,100,-2.5,-110
2026-09-18,9d2b09e0f9b6dd5ce0d985894f4f98fa,2026-09-27T20:05:00Z,San Francisco 49ers,Arizona Cardinals,,,,,-8.5,-110,8.5,-110,-8.5,-108,8.5,-113,-8.5,-110,8.5,-110,,,,,-8.5,-110,8.5,-110,-8.5,-115,8.5,-105,-8.5,-105,8.5,-105
2026-09-18,f1724dead3eab61546033032fc782375,2026-09-27T20:05:00Z,Tampa Bay Buccaneers,Minnesota Vikings,,,,,-1.0,-110,1.0,-110,-1.5,-108,1.5,-113,-1.5,-110,1.5,-110,,,,,-1.5,-110,1.5,-110,-1.5,-105,1.5,-115,-1.0,-105,1.0,-105
2026-09-18,84cfca14efc21363fd605508404cf1ff,2026-09-27T20:25:00Z,Dallas Cowboys,Baltimore Ravens,,,,,3.0,-106,-3.0,-114,3.0,-117,-3.0,-105,3.0,-110,-3.0,-110,,,,,3.0,-110,-3.0,-110,3.5,-118,-3.5,-104,3.0,-101,-3.0,-109
2026-09-18,2e523fcb0497aa689473e290eb2b97de,2026-09-27T20:25:00Z,New Orleans Saints,Las Vegas Raiders,,,,,-3.0,-120,3.0,100,-3.0,-108,3.0,-113,-3.0,-115,3.0,-105,,,,,-3.0,-110,3.0,-110,-3.0,-115,3.0,-105,-3.0,-116,3.0,105
2026-09-18,3bfd8bfb4b8e9a365a0877879b73b16b,2026-09-28T00:20:00Z,Denver Broncos,Los Angeles Rams,,,,,2.5,-105,-2.5,-115,2.5,-113,-2.5,-108,2.5,-105,-2.5,-115,,,,,2.5,-110,-2.5,-110,2.5,-112,-2.5,-108,2.5,100,-2.5,-110
2026-09-18,47dc7baa254659f3beb2ed2b38c207b6,2026-09-29T00:15:00Z,Chicago Bears,Philadelphia Eagles,,,,,-1.5,-110,1.5,-110,-1.5,-112,1.5,-109,-1.5,-110,1.5,-110,,,,,-1.5,-105,1.5,-115,-1.5,-104,1.5,-118,-1.5,-105,1.5,-105
