game_id,home_team,away_team,bookmaker,spread_point,spread_price
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetRivers,-5.0,-112
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetUS,5.0,-110
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetUS,-5.0,-110
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,FanDuel,7.5,-114
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,FanDuel,-7.5,-106
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,MyBookie.ag,7.5,-110
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,MyBookie.ag,-7.5,-110
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetOnline.ag,7.5,-115
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetOnline.ag,-7.5,-105
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,LowVig.ag,7.5,-111
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,LowVig.ag,-7.5,-101
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,DraftKings,7.5,-115
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,DraftKings,-7.5,-105
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetMGM,7.5,-115
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetMGM,-7.5,-105
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetRivers,7.5,-117
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetRivers,-7.5,-109
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,Bovada,7.0,-105
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,Bovada,-7.0,-115
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetUS,7.5,-115
3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,BetUS,-7.5,-105
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,FanDuel,-3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,FanDuel,3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetOnline.ag,-3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetOnline.ag,3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,LowVig.ag,-3.5,-106
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,LowVig.ag,3.5,-106
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,MyBookie.ag,-3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,MyBookie.ag,3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,DraftKings,-3.5,-112
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,DraftKings,3.5,-108
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetMGM,-3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetMGM,3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,Bovada,-3.5,-115
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,Bovada,3.5,-105
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetRivers,-4.0,-109
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetRivers,4.0,-115
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetUS,-3.5,-110
f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,BetUS,3.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,FanDuel,-7.5,-108
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,FanDuel,7.5,-112
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,LowVig.ag,-7.5,-106
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,LowVig.ag,7.5,-106
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetOnline.ag,-7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetOnline.ag,7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,MyBookie.ag,-7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,MyBookie.ag,7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,DraftKings,-7.5,-112
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,DraftKings,7.5,-108
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,Bovada,-7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,Bovada,7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetMGM,-7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetMGM,7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetRivers,-7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetRivers,7.5,-115
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetUS,-7.5,-110
19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,BetUS,7.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,FanDuel,-16.0,-106
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,FanDuel,16.0,-114
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetOnline.ag,-15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetOnline.ag,15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,LowVig.ag,-15.5,-106
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,LowVig.ag,15.5,-106
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,MyBookie.ag,-15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,MyBookie.ag,15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,DraftKings,-15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,DraftKings,15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetMGM,-15.5,-105
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetMGM,15.5,-115
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetRivers,-16.0,-112
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetRivers,16.0,-114
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,Bovada,-16.0,-105
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,Bovada,16.0,-115
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetUS,-15.5,-110
7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,BetUS,15.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,FanDuel,-4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,FanDuel,4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,MyBookie.ag,-4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,MyBookie.ag,4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,LowVig.ag,-4.5,-106
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,LowVig.ag,4.5,-106
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetMGM,-4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetMGM,4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,Bovada,-4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,Bovada,4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetOnline.ag,-4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetOnline.ag,4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,DraftKings,-4.5,-108
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,DraftKings,4.5,-112
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetRivers,-5.0,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetRivers,5.0,-115
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetUS,-4.5,-110
091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,BetUS,4.5,-110
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,FanDuel,-11.5,-112
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,FanDuel,11.5,-108
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetOnline.ag,-11.0,-111
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetOnline.ag,11.0,-109
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,LowVig.ag,-11.0,-107
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,LowVig.ag,11.0,-105
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,MyBookie.ag,-11.0,-110
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,MyBookie.ag,11.0,-110
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetMGM,-11.5,-105
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetMGM,11.5,-115
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,Bovada,-11.0,-110
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,Bovada,11.0,-110
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,DraftKings,-11.5,-102
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,DraftKings,11.5,-118
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetRivers,-11.5,-109
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetRivers,11.5,-117
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetUS,-11.0,-110
7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,BetUS,11.0,-110
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,FanDuel,-1.5,-112
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,FanDuel,1.5,-108
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetOnline.ag,-2.0,-110
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetOnline.ag,2.0,-110
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,LowVig.ag,-2.0,-106
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,LowVig.ag,2.0,-106
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,Bovada,-2.0,-105
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,Bovada,2.0,-115
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetMGM,-1.5,-115
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetMGM,1.5,-105
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,MyBookie.ag,-1.5,-110
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,MyBookie.ag,1.5,-110
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,DraftKings,-1.5,-115
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,DraftKings,1.5,-105
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetRivers,-1.5,-115
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetRivers,1.5,-109
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetUS,-2.0,-110
eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,BetUS,2.0,-110
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,FanDuel,1.0,-108
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,FanDuel,-1.0,-112
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,LowVig.ag,0.0,-106
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,LowVig.ag,0.0,-106
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,BetOnline.ag,0.0,-110
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,BetOnline.ag,0.0,-110
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,Bovada,1.0,-110
6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,Bovada,-1.0,-110
